source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,l15-16,exam,"In strengthening controls, which directorate measure matches FR 111?","The Accounting Officer is the Permanent Secretary or head of an entity who controls and is responsible for human, material and financial resources.","The Accounting Officer must ensure sound budgeting/accounting systems, internal control, prudent expenditure, accurate revenue collection/accounting, reporting, asset safety, and appearance before PAC.","The Head of Finance and Accounts must ensure compliance, supervise disbursements and revenue accounting, advise the Accounting Officer, maintain ledgers/records, render returns, manage budget control, train staff, liaise with the Accountant-General, and run an audit-query unit.","Any directive by a Political Head with financial implications may be in writing; if it causes unauthorized expenditure/contravention, the Accounting Officer is responsible unless they report appropriately (Head of Service/Minister as applicable).",A,"FR 111 (Accounting Officer) provides that The Accounting Officer is the Permanent Secretary or head of an entity who controls and is responsible for human, material and financial resources.",fr
FR_2009,l15-16,exam,"As a Director of Finance/Admin, which priority aligns with FR 112?","The Accounting Officer is the Permanent Secretary or head of an entity who controls and is responsible for human, material and financial resources.",An Imprest-holder (not a Sub-Accounting Officer) is entrusted with disbursing public money where vouchers cannot be presented immediately and may keep a cash book.,"Any directive by a Political Head with financial implications must be in writing; if it causes unauthorized expenditure/contravention, the Accounting Officer is responsible unless they report appropriately (Head of Service/Minister as applicable).","The Accounting Officer must ensure sound budgeting/accounting systems, internal control, prudent expenditure, accurate revenue collection/accounting, reporting, asset safety, and appearance before PAC.",D,"FR 112 (Accounting Officer (functions)) provides that The Accounting Officer must ensure sound budgeting/accounting systems, internal control, prudent expenditure, accurate revenue collection/accounting, reporting, asset safety, and appearance before PAC.",fr
FR_2009,l15-16,exam,"At directorate level, which control decision is consistent with FR 113?","The Accounting Officer is the Permanent Secretary or head of an entity who controls and is responsible for human, material and financial resources.","The Political Head must supervise/control activities, including endorsing annual budget proposals, ensuring implementation of political programmes, and ensuring compliance with rules, regulations and executive policies.","Accounting Officers must oversee tender board activities, ensure procurement is budgeted/appropriated, set up planning/evaluation/procurement committees, submit returns to BPP, liaise with BPP, and ensure PPA compliance with personal liability for breaches.","Any directive by a Political Head with financial implications may be in writing; if it causes unauthorized expenditure/contravention, the Accounting Officer is responsible unless they report appropriately (Head of Service/Minister as applicable).",C,"FR 113 (Accounting Officer (procurement)) provides that Accounting Officers must oversee tender board activities, ensure procurement is budgeted/appropriated, set up planning/evaluation/procurement committees, submit returns to BPP, liaise with BPP, and ensure PPA compliance with personal liability for breaches.",fr
FR_2009,l15-16,exam,Which governance measure best translates FR 114 into practice?,"A Sub-Accounting Officer is entrusted with receipt, custody and disbursement of public money and keeps a recognized cash book and prescribed accounts; it includes finance directors/heads of accounts and specified pay/pension officers.","Any directive by a Political Head with financial implications must be in writing; if it causes unauthorized expenditure/contravention, the Accounting Officer is responsible unless they report appropriately (Head of Service/Minister as applicable).","The Political Head of a ministry is the Minister; for parastatals/extra-ministerial offices and other agencies, it is the Chairman (or as defined by the enabling law).","The Head of Finance and Accounts must ensure compliance, supervise disbursements and revenue accounting, advise the Accounting Officer, maintain ledgers/records, render returns, manage budget control, train staff, liaise with the Accountant-General, and run an audit-query unit.",D,"FR 114 (Head of Finance and Accounts) provides that The Head of Finance and Accounts must ensure compliance, supervise disbursements and revenue accounting, advise the Accounting Officer, maintain ledgers/records, render returns, manage budget control, train staff, liaise with the Accountant-General, and run an audit-query unit.",fr
FR_2009,l15-16,exam,Which control framework choice best supports FR 115 across the entity?,"A Sub-Accounting Officer is entrusted with receipt, custody and disbursement of public money and keeps a recognized cash book and prescribed accounts; it includes finance directors/heads of accounts and specified pay/pension officers.","The Accounting Officer is the Permanent Secretary or head of an entity who controls and is responsible for human, material and financial resources.","The Political Head of a ministry is the Minister; for parastatals/extra-ministerial offices and other agencies, it is the Chairman (or as defined by the enabling law).","The Accounting Officer must ensure sound budgeting/accounting systems, internal control, prudent expenditure, accurate revenue collection/accounting, reporting, asset safety, and appearance before PAC.",A,"FR 115 (Sub-Accounting Officer) provides that A Sub-Accounting Officer is entrusted with receipt, custody and disbursement of public money and keeps a recognized cash book and prescribed accounts; it includes finance directors/heads of accounts and specified pay/pension officers.",fr
FR_2009,l15-16,exam,You are briefing a Permanent Secretary. Which directive implements FR 116?,A Revenue Collector (not a Sub-Accounting Officer) is entrusted with official receipt/licence/ticket booklets for regular collection of particular revenue and must keep a cash book.,"Accounting Officers must oversee tender board activities, ensure procurement is budgeted/appropriated, set up planning/evaluation/procurement committees, submit returns to BPP, liaise with BPP, and ensure PPA compliance with personal liability for breaches.",An Imprest-holder (not a Sub-Accounting Officer) is entrusted with disbursing public money where vouchers cannot be presented immediately and must keep a cash book.,"The Political Head of a ministry is the Minister; for parastatals/extra-ministerial offices and other agencies, it is the Chairman (or as defined by the enabling law).",D,"FR 116 (Political Head) provides that The Political Head of a ministry is the Minister; for parastatals/extra-ministerial offices and other agencies, it is the Chairman (or as defined by the enabling law).",fr
FR_2009,l15-16,exam,Which management decision aligns with FR 117's intent?,"Accounting Officers must oversee tender board activities, ensure procurement is budgeted/appropriated, set up planning/evaluation/procurement committees, submit returns to BPP, liaise with BPP, and ensure PPA compliance with personal liability for breaches.","Any directive by a Political Head with financial implications must be in writing; if it causes unauthorized expenditure/contravention, the Accounting Officer is responsible unless they report appropriately (Head of Service/Minister as applicable).",An Imprest-holder (not a Sub-Accounting Officer) is entrusted with disbursing public money where vouchers cannot be presented immediately and must keep a cash book.,"The Political Head must supervise/control activities, including endorsing annual budget proposals, ensuring implementation of political programmes, and ensuring compliance with rules, regulations and executive policies.",B,"FR 117 (Political directives) provides that Any directive by a Political Head with financial implications must be in writing; if it causes unauthorized expenditure/contravention, the Accounting Officer is responsible unless they report appropriately (Head of Service/Minister as applicable).",fr
FR_2009,l15-16,exam,Which directive would a Director issue to comply with FR 118?,"A Sub-Accounting Officer is entrusted with receipt, custody and disbursement of public money and keeps a recognized cash book and prescribed accounts; it includes finance directors/heads of accounts and specified pay/pension officers.","Accounting Officers must oversee tender board activities, ensure procurement is budgeted/appropriated, set up planning/evaluation/procurement committees, submit returns to BPP, liaise with BPP, and ensure PPA compliance with personal liability for breaches.","The Political Head must supervise/control activities, including endorsing annual budget proposals, ensuring implementation of political programmes, and ensuring compliance with rules, regulations and executive policies.","The Accounting Officer is the Permanent Secretary or head of an entity who controls and is responsible for human, material and financial resources.",C,"FR 118 (Political Head (supervision)) provides that The Political Head must supervise/control activities, including endorsing annual budget proposals, ensuring implementation of political programmes, and ensuring compliance with rules, regulations and executive policies.",fr
FR_2009,l15-16,exam,Which director-level governance action best reflects FR 119?,"The Accounting Officer is the Permanent Secretary or head of an entity who controls and is responsible for human, material and financial resources.","The Political Head of a ministry is the Minister; for parastatals/extra-ministerial offices and other agencies, it is the Chairman (or as defined by the enabling law).",A Revenue Collector (not a Sub-Accounting Officer) is entrusted with official receipt/licence/ticket booklets for regular collection of particular revenue and must keep a cash book.,"Accounting Officers must oversee tender board activities, ensure procurement is budgeted/appropriated, set up planning/evaluation/procurement committees, submit returns to BPP, liaise with BPP, and ensure PPA compliance with personal liability for breaches.",C,FR 119 (Revenue Collector) provides that A Revenue Collector (not a Sub-Accounting Officer) is entrusted with official receipt/licence/ticket booklets for regular collection of particular revenue and must keep a cash book.,fr
FR_2009,l15-16,exam,"As a Director, which policy or control best operationalizes FR 120?",An Imprest-holder (not a Sub-Accounting Officer) is entrusted with disbursing public money where vouchers cannot be presented immediately and must keep a cash book.,"The Head of Finance and Accounts may ensure compliance, supervise disbursements and revenue accounting, advise the Accounting Officer, maintain ledgers/records, render returns, manage budget control, train staff, liaise with the Accountant-General, and run an audit-query unit.","The Accounting Officer is the Permanent Secretary or head of an entity who controls and is responsible for human, material and financial resources.","Accounting Officers may oversee tender board activities, ensure procurement is budgeted/appropriated, set up planning/evaluation/procurement committees, submit returns to BPP, liaise with BPP, and ensure PPA compliance with personal liability for breaches.",A,FR 120 (Imprest-holder) provides that An Imprest-holder (not a Sub-Accounting Officer) is entrusted with disbursing public money where vouchers cannot be presented immediately and must keep a cash book.,fr
