source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,l15-16,exam,Which governance measure would you mandate to meet FR 718?,Military/paramilitary salaries must be paid through bank accounts by the 20th; Defence/Budget/AG/CBN have defined deadlines and reconciliation advice flows.,Requests for official cheque books must be signed by an authorised account signatory and countersigned by the Head of Accounts.,Foreign cheques/currencies require prescribed approvals and prompt remittance to CBN/SubâTreasurer for negotiation; missions must not accept unusable currencies.,Government funds must not be placed in banks charging commissions; monthly statements must confirm no commission on turnover is charged.,B,FR 718 provides that Requests for official cheque books must be signed by an authorised account signatory and countersigned by the Head of Accounts.,fr
FR_2009,l15-16,exam,Which director-level instruction operationalizes FR 719?,Cheque books must be securely stored and controlled; officers operating accounts must prevent extraction of cheque leaves for fraud.,A departmental dishonoured cheque register must be kept and reviewed monthly by the Head of Accounts to ensure recoveries are pursued.,Foreign cheques/currencies require prescribed approvals and prompt remittance to CBN/SubâTreasurer for negotiation; missions must not accept unusable currencies.,"Cheques should be payable to the Federal Government (or official designation), crossed appropriately on receipt, and accepted only after strict validity checks (including confirmation above â¦20,000).",D,"FR 719 provides that Cheques should be payable to the Federal Government (or official designation), crossed appropriately on receipt, and accepted only after strict validity checks (including confirmation above â¦20,000).",fr
FR_2009,l15-16,exam,What high-level action supports FR 720?,Dishonoured cheque debits must be cleared/refunded by next business day and must never be treated or held as cash.,Idle funds of MDAs may only be invested in Treasury Bills in line with extant circulars.,Cheques received must be banked by next business day; special remittance steps apply for commission cheques and cheques must not be endorsed to third parties.,"Operation of overseas mission bank accounts is arranged with Foreign Affairs and the AccountantâGeneral, with a separate account maintained.",C,FR 720 provides that Cheques received must be banked by next business day; special remittance steps apply for commission cheques and cheques must not be endorsed to third parties.,fr
FR_2009,l15-16,exam,Which directive would you issue to enforce FR 721?,Postâdated cheques require prior AccountantâGeneral authority before acceptance.,"Defaced cheques must be cancelled and retained, banks notified, and a cancelled cheque register maintained.","Overhead remittances to field offices must follow AIE/cash transfer procedures, complete within 7 working days, with sanctions/interest for delays and monthly reconciliation reporting.","Dishonoured revenue cheques must be reversed to the original head, reimbursement pursued (including legal action if needed), bank nonâappearance investigated, and no Treasury receipt issued until clearance.",C,"FR 721 provides that Overhead remittances to field offices must follow AIE/cash transfer procedures, complete within 7 working days, with sanctions/interest for delays and monthly reconciliation reporting.",fr
FR_2009,l15-16,exam,Which senior control best supports FR 722?,"To ensure salary payment by the 28th monthly, quarterly remittance schedules and advance preparation are required; CBN provides credit/debit advice for reconciliation.","Defaced cheques must be cancelled and retained, banks notified, and a cancelled cheque register maintained.",Cheques received must be banked by next business day; special remittance steps apply for commission cheques and cheques must not be endorsed to third parties.,An officer who negligently disregards cheque acceptance checks and receives a dishonoured cheque is surcharged for the full amount.,A,"FR 722 provides that To ensure salary payment by the 28th monthly, quarterly remittance schedules and advance preparation are required; CBN provides credit/debit advice for reconciliation.",fr
FR_2009,l15-16,exam,Which policy measure implements FR 723?,Government funds must not be placed in banks charging commissions; monthly statements must confirm no commission on turnover is charged.,A departmental dishonoured cheque register must be kept and reviewed monthly by the Head of Accounts to ensure recoveries are pursued.,"Overhead remittances to field offices must follow AIE/cash transfer procedures, complete within 7 working days, with sanctions/interest for delays and monthly reconciliation reporting.",Military/paramilitary salaries must be paid through bank accounts by the 20th; Defence/Budget/AG/CBN have defined deadlines and reconciliation advice flows.,D,FR 723 provides that Military/paramilitary salaries must be paid through bank accounts by the 20th; Defence/Budget/AG/CBN have defined deadlines and reconciliation advice flows.,fr
FR_2009,l15-16,exam,Which governance decision reflects FR 724?,Cheques received must be banked by next business day; special remittance steps apply for commission cheques and cheques must not be endorsed to third parties.,Idle funds of MDAs may only be invested in Treasury Bills in line with extant circulars.,"Dishonoured revenue cheques must be reversed to the original head, reimbursement pursued (including legal action if needed), bank nonâappearance investigated, and no Treasury receipt issued until clearance.",Foreign cheques/currencies require prescribed approvals and prompt remittance to CBN/SubâTreasurer for negotiation; missions must not accept unusable currencies.,D,FR 724 provides that Foreign cheques/currencies require prescribed approvals and prompt remittance to CBN/SubâTreasurer for negotiation; missions must not accept unusable currencies.,fr
FR_2009,l15-16,exam,Which management directive aligns with FR 725?,Personal cheques must not be exchanged for cash from government funds under any circumstances.,"Defaced cheques must be cancelled and retained, banks notified, and a cancelled cheque register maintained.",Government funds must not be placed in banks charging commissions; monthly statements must confirm no commission on turnover is charged.,"Operation of overseas mission bank accounts is arranged with Foreign Affairs and the AccountantâGeneral, with a separate account maintained.",D,"FR 725 provides that Operation of overseas mission bank accounts is arranged with Foreign Affairs and the AccountantâGeneral, with a separate account maintained.",fr
FR_2009,l15-16,exam,"As a Director, which control enforces FR 726?",Idle funds of MDAs may only be invested in Treasury Bills in line with extant circulars.,Personal cheques must not be exchanged for cash from government funds under any circumstances.,Cheques must not be accepted if drawer standing is doubtful; bank guarantees should be arranged from officially listed banks where possible.,Postâdated cheques require prior AccountantâGeneral authority before acceptance.,D,FR 726 provides that Postâdated cheques require prior AccountantâGeneral authority before acceptance.,fr
FR_2009,l15-16,exam,Which control framework choice best delivers FR 727?,Bills of Exchange and Promissory Notes require specific AccountantâGeneral approval before acceptance.,"Overhead remittances to field offices must follow AIE/cash transfer procedures, complete within 7 working days, with sanctions/interest for delays and monthly reconciliation reporting.",A departmental dishonoured cheque register must be kept and reviewed monthly by the Head of Accounts to ensure recoveries are pursued.,Cheque books must be securely stored and controlled; officers operating accounts must prevent extraction of cheque leaves for fraud.,A,FR 727 provides that Bills of Exchange and Promissory Notes require specific AccountantâGeneral approval before acceptance.,fr
