source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR_2021,l1-4,exam,"During operations in Federal Ministry of Education, The central coordinating body responsible for monitoring effectiveness of performance management is domiciled in the OHCSF.",Ministry of Works,Federal Inland Revenue Service,National Planning Commission,OHCSF,D,The coordinating body is domiciled in the Office of the Head of the Civil Service of the Federation (OHCSF).,psr
PSR_2021,l1-4,exam,"Under circumstances in Nigeria Immigration Service, The central coordinating body responsible for monitoring effectiveness of performance management is domiciled in the OHCSF.",OHCSF,Federal Inland Revenue Service,Ministry of Works,National Planning Commission,A,The coordinating body is domiciled in the Office of the Head of the Civil Service of the Federation (OHCSF).,psr
PSR_2021,l1-4,exam,"Within Federal Ministry of Education, In the context of PSR Chapter 6, 'Reward' refers to an MDA or Presidential award of gifts, certificates and/or letter of commendation to deserving officers.",pension arrears,medical insurance,housing loan,letter of commendation,D,"Reward includes gifts, certificates and/or letters of commendation to deserving officers.",psr
PSR_2021,l1-4,exam,"Within Federal Ministry of Education, Staff development is the policy of enhancing knowledge, skills, attitude, effectiveness and efficiency of staff to meet career goals and prepare for changing responsibilities.",efficiency,salary,tenure,political status,A,Staff development enhances knowledge/skills/attitude/effectiveness/efficiency.,psr
PSR_2021,l1-4,exam,"During operations in Nigeria Immigration Service, In the Federal Public Service, the Performance Management System (PMS) replaces the Annual Performance Evaluation Report (APER).",Annual Leave Register (ALR),Annual Performance Evaluation Report (APER),Nominal Roll Review (NRR),Departmental Posting Memo (DPM),B,PMS replaces the Annual Performance Evaluation Report (APER).,psr
PSR_2021,l1-4,exam,"While working in Federal Ministry of Finance, Permanent Secretaries/Heads of Extra-Ministerial Offices should render progress reports at intervals of six months from the date of first appointment.",every two years,twelve months,three months,six months,D,Progress reports are rendered at six-month intervals with effect from the date of first appointment.,psr
PSR_2021,l1-4,exam,"While working in Federal Ministry of Agriculture, An overseas course of instruction is a course undertaken outside the shores of Nigeria.",Cameroon,Benin,Nigeria,Ghana,C,Overseas instruction is outside the shores of Nigeria.,psr
PSR_2021,l1-4,exam,"Within Federal Ministry of Justice, Progress reports on officers on probation are primarily meant to provide a record of the officer’s work, conduct and capabilities for judging suitability for confirmation.",posting and transfer decisions,confirmation or re-engagement,promotion into the next grade,pension computation,B,Progress reports provide a full record for judging suitability for confirmation or re-engagement and to warn officers early and allow correction.,psr
PSR_2021,l1-4,exam,"Within Federal Ministry of Works, Permanent Secretaries/Heads of Extra-Ministerial Offices should render progress reports at intervals of six months from the date of first appointment.",twelve months,six months,three months,every two years,B,Progress reports are rendered at six-month intervals with effect from the date of first appointment.,psr
PSR_2021,l1-4,exam,"While working in Federal Ministry of Justice, The Performance Management Cycle runs from January to December each year.",October to September,July to June,April to March,January to December,D,The annual performance management cycle runs from January to December.,psr
PSR_2021,l1-4,exam,"While working in Federal Ministry of Finance, The Performance Management Cycle runs from January to December each year.",April to March,January to December,July to June,October to September,B,The annual performance management cycle runs from January to December.,psr
PSR_2021,l1-4,exam,"Under circumstances in Federal Ministry of Justice, In the context of PSR Chapter 6, 'Reward' refers to an MDA or Presidential award of gifts, certificates and/or letter of commendation to deserving officers.",medical insurance,letter of commendation,pension arrears,housing loan,B,"Reward includes gifts, certificates and/or letters of commendation to deserving officers.",psr
PSR_2021,l1-4,exam,"Under circumstances in Federal Ministry of Health, The central coordinating body responsible for monitoring effectiveness of performance management is domiciled in the OHCSF.",Federal Inland Revenue Service,OHCSF,National Planning Commission,Ministry of Works,B,The coordinating body is domiciled in the Office of the Head of the Civil Service of the Federation (OHCSF).,psr
PSR_2021,l1-4,exam,"At Federal Ministry of Agriculture, A course of instruction within Nigeria is undertaken locally but outside an officer’s station at approved institutions.",Only within the officer’s office,TRUE,Only outside Nigeria,FALSE,B,"Within Nigeria courses are local but outside the station, in approved institutions.",psr
PSR_2021,l1-4,exam,"Within Nigeria Customs Service, Permanent Secretaries/Heads of Extra-Ministerial Offices should render progress reports at intervals of six months from the date of first appointment.",three months,six months,twelve months,every two years,B,Progress reports are rendered at six-month intervals with effect from the date of first appointment.,psr
PSR_2021,l1-4,exam,"At National Orientation Agency, In PSR Chapter 6, 'Recognition' refers to certificate of merit and/or gifts given to officers who have served meritoriously for 15, 25 or 35 years.","15, 25 or 35 years","20, 30 or 40 years","10, 20 or 30 years","5, 10 or 15 years",A,"Recognition is for meritorious service of 15, 25 or 35 years.",psr
PSR_2021,l1-4,exam,"Within National Bureau of Statistics, An overseas course of instruction is a course undertaken outside the shores of Nigeria.",Cameroon,Ghana,Nigeria,Benin,C,Overseas instruction is outside the shores of Nigeria.,psr
PSR_2021,l1-4,exam,"At National Bureau of Statistics, In PSR Chapter 6, 'Recognition' refers to certificate of merit and/or gifts given to officers who have served meritoriously for 15, 25 or 35 years.","20, 30 or 40 years","15, 25 or 35 years","10, 20 or 30 years","5, 10 or 15 years",B,"Recognition is for meritorious service of 15, 25 or 35 years.",psr
