source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,l17,exam,A national executive ignoring governance warnings risks:,Temporary inconvenience,Faster decisions,Escalating systemic failure,Improved efficiency,C,Ignored warnings amplify risks.,psr
PSR 2021,l17,exam,Strategic sustainability requires executives to:,Reduce audits,Limit planning,Focus on immediate convenience,Invest in long-term institutional capacity,D,Capacity ensures durability.,psr
PSR 2021,l17,exam,Apex governance succeeds through:,Reduced communication,Coordinated national leadership,Delegated authority without review,Isolated departmental action,B,Coordination ensures unity.,psr
PSR 2021,l17,exam,Apex ethical leadership requires:,Consistent principled action,Political alignment,Administrative secrecy,Personal discretion only,A,Principled action defines ethics.,psr
PSR 2021,l17,exam,A top executive must prioritize during systemic crisis:,Cost reduction only,Public popularity alone,Administrative secrecy,Institutional stability and legality,D,Stability and legality guide crisis action.,psr
PSR 2021,l17,exam,Apex accountability depends on:,Administrative secrecy,Personal authority alone,Structured oversight institutions,Political favoritism,C,Institutions sustain accountability.,psr
PSR 2021,l17,trial,A top executive addressing systemic misconduct should:,Ignore isolated cases,Implement coordinated corrective frameworks,Delay investigation,Delegate externally,B,Coordination ensures effectiveness.,psr
PSR 2021,l17,trial,"At apex level, disciplinary credibility depends primarily on:",Institutional impartiality,Public secrecy,Administrative speed,Political negotiation,A,Impartiality sustains legitimacy.,psr
PSR 2021,l17,exam,A top executive standardizes procedures to:,Prevent governance disparity,Limit autonomy,Increase bureaucracy unnecessarily,Delay implementation,A,Standardization reduces disparity.,psr
PSR 2021,l17,exam,A top executive reinforces ethical culture by:,Modeling principled national leadership,Reducing oversight,Avoiding accountability,Delegating ethics externally,A,Leadership behavior sets ethical standards.,psr
PSR 2021,l17,trial,A top executive detects widespread procedural erosion across ministries. The appropriate response is to:,Address only isolated cases,Delegate entirely to departments,Delay intervention,Initiate system-wide governance reform,D,Systemic erosion requires systemic reform.,psr
PSR 2021,l17,exam,National compliance culture improves when executives:,Model consistent ethical enforcement,Avoid audits,Delegate ethics externally,Reduce oversight,A,Leadership example drives culture.,psr
PSR 2021,l17,trial,Apex governance requires continuous:,Reduced reporting,Institutional performance monitoring,Reactive crisis response,External delegation,B,Monitoring prevents deterioration.,psr
PSR 2021,l17,exam,Apex leaders sustain trust by:,Avoiding public explanation,Reducing documentation,Modeling consistent transparency,Delegating communication externally,C,Transparency builds confidence.,psr
PSR 2021,l17,exam,A top executive facing conflicting departmental disciplinary standards should:,Allow departments full autonomy,Delay intervention indefinitely,Impose unified national guidelines,Delegate externally,C,Unified standards ensure coherence.,psr
PSR 2021,l17,exam,Apex stewardship requires executives to:,Avoid audits,Rely on temporary fixes,Institutionalize enduring governance systems,Reduce oversight,C,Enduring systems ensure continuity.,psr
PSR 2021,l17,exam,National disciplinary credibility depends on:,Administrative secrecy,Fair and visible enforcement,Selective punishment,Political discretion,B,Visible fairness sustains trust.,psr
PSR 2021,l17,exam,Executive accountability is strongest when decisions are:,Traceable and reviewable,Politically negotiated,Confidential and informal,Delegated blindly,A,Traceability ensures oversight.,psr
PSR 2021,l17,exam,Strategic executive reform should target:,System-wide governance efficiency,Salary adjustments,Office infrastructure,Short-term optics only,A,Efficiency drives reform.,psr
PSR 2021,l17,exam,Uniform disciplinary policy ensures:,Administrative secrecy,Predictable institutional behavior,Departmental isolation,Reduced accountability,B,Predictability stabilizes governance.,psr
PSR 2021,l17,exam,Institutional stewardship succeeds when executives:,Limit oversight,Embed enduring governance frameworks,Reduce audits,Focus on temporary fixes,B,Frameworks ensure longevity.,psr
PSR 2021,l17,exam,National governance stability depends heavily on:,Political convenience,Personal discretion,Administrative secrecy,Predictable executive enforcement,D,Predictability stabilizes systems.,psr
PSR 2021,l17,exam,Failure to maintain national compliance systems risks:,Temporary inconvenience,Faster processing,Widespread governance decline,Increased efficiency,C,Compliance systems prevent decline.,psr
PSR 2021,l17,exam,Apex leaders must evaluate governance frameworks to:,Accelerate promotions,Reduce administrative workload,Detect systemic vulnerabilities,Limit reporting,C,Evaluation exposes weaknesses.,psr
