source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,01-May,exam,Identify the rule stated in FR 2001.,Assume compliance without verification,Record transaction informally,Apply the specific control requirement stated in FR 2001,Apply rule only when convenient,C,FR 2001 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,05-Jul,exam,Which practice would violate Regulation 2001?,Apply the specific control requirement stated in FR 2001,Treat exception as standard practice,Transfer liability to junior staff,Ignore documentation if verbally approved,A,FR 2001 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,08-Oct,exam,You are supervising operations. Which decision best satisfies FR 2001?,Delegate responsibility without records,Delay action until audit query,Transfer liability to junior staff,Apply the specific control requirement stated in FR 2001,D,FR 2001 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,Dec-14,exam,A senior officer reviewing compliance notices a breach of FR 2001. What indicates non‑compliance?,Apply the specific control requirement stated in FR 2001,Treat exception as standard practice,Ignore documentation if verbally approved,Assume compliance without verification,A,FR 2001 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,15-16,exam,Which policy decision most strongly reflects FR 2001 intent?,Apply the specific control requirement stated in FR 2001,Apply rule only when convenient,Delay action until audit query,Assume compliance without verification,A,FR 2001 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,17,exam,"At federal oversight level, what principle does FR 2001 enforce?",Delay action until audit query,Apply rule only when convenient,Apply the specific control requirement stated in FR 2001,Delegate responsibility without records,C,FR 2001 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,01-May,exam,What does Regulation 2002 mandate?,Delegate responsibility without records,Delay action until audit query,Apply the specific control requirement stated in FR 2002,Ignore documentation if verbally approved,C,FR 2002 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,05-Jul,exam,Which practice would violate Regulation 2002?,Treat exception as standard practice,Apply the specific control requirement stated in FR 2002,Approve action without authority,Apply rule only when convenient,B,FR 2002 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,08-Oct,exam,Which administrative plan aligns with Regulation 2002?,Transfer liability to junior staff,Delegate responsibility without records,Apply the specific control requirement stated in FR 2002,Delay action until audit query,C,FR 2002 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,Dec-14,exam,Which scenario demonstrates correct enforcement of Regulation 2002?,Treat exception as standard practice,Delay action until audit query,Apply the specific control requirement stated in FR 2002,Approve action without authority,C,FR 2002 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,15-16,exam,"As Director, which directive best enforces Regulation 2002 across departments?",Apply rule only when convenient,Transfer liability to junior staff,Record transaction informally,Apply the specific control requirement stated in FR 2002,D,FR 2002 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,17,exam,"At federal oversight level, what principle does FR 2002 enforce?",Record transaction informally,Treat exception as standard practice,Apply the specific control requirement stated in FR 2002,Approve action without authority,C,FR 2002 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,01-May,exam,What does Regulation 2003 mandate?,Apply the specific control requirement stated in FR 2003,Assume compliance without verification,Delegate responsibility without records,Approve action without authority,A,FR 2003 establishes that the correct action is to apply its stated control requirement.,fr
FR_2009,05-Jul,exam,"Under FR 2003, which condition is compulsory?",Delegate responsibility without records,Ignore documentation if verbally approved,Apply the specific control requirement stated in FR 2003,Record transaction informally,C,FR 2003 establishes that the correct action is to apply its stated control requirement.,fr
