source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,01-May,exam,What is the primary focus of FR 1001 regarding definition and purpose of imprest?,It establishes the official rule governing definition and purpose of imprest.,It suspends normal procedures concerning definition and purpose of imprest.,It removes all accountability related to definition and purpose of imprest.,It delegates the matter entirely to private discretion.,a,FR 1001 specifically defines the official regulatory framework for definition and purpose of imprest.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1001 on definition and purpose of imprest?,It suspends normal procedures concerning definition and purpose of imprest.,It removes all accountability related to definition and purpose of imprest.,It delegates the matter entirely to private discretion.,It establishes the official rule governing definition and purpose of imprest.,d,FR 1001 specifically defines the official regulatory framework for definition and purpose of imprest.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1001 guide actions related to definition and purpose of imprest?",It delegates the matter entirely to private discretion.,It establishes the official rule governing definition and purpose of imprest.,It suspends normal procedures concerning definition and purpose of imprest.,It removes all accountability related to definition and purpose of imprest.,b,FR 1001 specifically defines the official regulatory framework for definition and purpose of imprest.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1001 concerning definition and purpose of imprest?",It suspends normal procedures concerning definition and purpose of imprest.,It removes all accountability related to definition and purpose of imprest.,It establishes the official rule governing definition and purpose of imprest.,It delegates the matter entirely to private discretion.,c,FR 1001 specifically defines the official regulatory framework for definition and purpose of imprest.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1001 on definition and purpose of imprest?",It removes all accountability related to definition and purpose of imprest.,It establishes the official rule governing definition and purpose of imprest.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning definition and purpose of imprest.,b,FR 1001 specifically defines the official regulatory framework for definition and purpose of imprest.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1001 in managing definition and purpose of imprest?",It establishes the official rule governing definition and purpose of imprest.,It removes all accountability related to definition and purpose of imprest.,It suspends normal procedures concerning definition and purpose of imprest.,It delegates the matter entirely to private discretion.,a,FR 1001 specifically defines the official regulatory framework for definition and purpose of imprest.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1002 regarding authority responsible for issuing imprests?,It suspends normal procedures concerning authority responsible for issuing imprests.,It establishes the official rule governing authority responsible for issuing imprests.,It delegates the matter entirely to private discretion.,It removes all accountability related to authority responsible for issuing imprests.,b,FR 1002 specifically defines the official regulatory framework for authority responsible for issuing imprests.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1002 on authority responsible for issuing imprests?,It delegates the matter entirely to private discretion.,It establishes the official rule governing authority responsible for issuing imprests.,It removes all accountability related to authority responsible for issuing imprests.,It suspends normal procedures concerning authority responsible for issuing imprests.,b,FR 1002 specifically defines the official regulatory framework for authority responsible for issuing imprests.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1002 guide actions related to authority responsible for issuing imprests?",It suspends normal procedures concerning authority responsible for issuing imprests.,It establishes the official rule governing authority responsible for issuing imprests.,It delegates the matter entirely to private discretion.,It removes all accountability related to authority responsible for issuing imprests.,b,FR 1002 specifically defines the official regulatory framework for authority responsible for issuing imprests.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1002 concerning authority responsible for issuing imprests?",It delegates the matter entirely to private discretion.,It removes all accountability related to authority responsible for issuing imprests.,It suspends normal procedures concerning authority responsible for issuing imprests.,It establishes the official rule governing authority responsible for issuing imprests.,d,FR 1002 specifically defines the official regulatory framework for authority responsible for issuing imprests.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1002 on authority responsible for issuing imprests?",It suspends normal procedures concerning authority responsible for issuing imprests.,It establishes the official rule governing authority responsible for issuing imprests.,It delegates the matter entirely to private discretion.,It removes all accountability related to authority responsible for issuing imprests.,b,FR 1002 specifically defines the official regulatory framework for authority responsible for issuing imprests.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1002 in managing authority responsible for issuing imprests?",It establishes the official rule governing authority responsible for issuing imprests.,It suspends normal procedures concerning authority responsible for issuing imprests.,It removes all accountability related to authority responsible for issuing imprests.,It delegates the matter entirely to private discretion.,a,FR 1002 specifically defines the official regulatory framework for authority responsible for issuing imprests.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1003 regarding timing and notification of General Imprest Warrant?,It suspends normal procedures concerning timing and notification of General Imprest Warrant.,It establishes the official rule governing timing and notification of General Imprest Warrant.,It removes all accountability related to timing and notification of General Imprest Warrant.,It delegates the matter entirely to private discretion.,b,FR 1003 specifically defines the official regulatory framework for timing and notification of General Imprest Warrant.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1003 on timing and notification of General Imprest Warrant?,It removes all accountability related to timing and notification of General Imprest Warrant.,It establishes the official rule governing timing and notification of General Imprest Warrant.,It suspends normal procedures concerning timing and notification of General Imprest Warrant.,It delegates the matter entirely to private discretion.,b,FR 1003 specifically defines the official regulatory framework for timing and notification of General Imprest Warrant.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1003 guide actions related to timing and notification of General Imprest Warrant?",It delegates the matter entirely to private discretion.,It removes all accountability related to timing and notification of General Imprest Warrant.,It suspends normal procedures concerning timing and notification of General Imprest Warrant.,It establishes the official rule governing timing and notification of General Imprest Warrant.,d,FR 1003 specifically defines the official regulatory framework for timing and notification of General Imprest Warrant.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1003 concerning timing and notification of General Imprest Warrant?",It removes all accountability related to timing and notification of General Imprest Warrant.,It suspends normal procedures concerning timing and notification of General Imprest Warrant.,It delegates the matter entirely to private discretion.,It establishes the official rule governing timing and notification of General Imprest Warrant.,d,FR 1003 specifically defines the official regulatory framework for timing and notification of General Imprest Warrant.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1003 on timing and notification of General Imprest Warrant?",It removes all accountability related to timing and notification of General Imprest Warrant.,It suspends normal procedures concerning timing and notification of General Imprest Warrant.,It establishes the official rule governing timing and notification of General Imprest Warrant.,It delegates the matter entirely to private discretion.,c,FR 1003 specifically defines the official regulatory framework for timing and notification of General Imprest Warrant.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1003 in managing timing and notification of General Imprest Warrant?",It removes all accountability related to timing and notification of General Imprest Warrant.,It establishes the official rule governing timing and notification of General Imprest Warrant.,It suspends normal procedures concerning timing and notification of General Imprest Warrant.,It delegates the matter entirely to private discretion.,b,FR 1003 specifically defines the official regulatory framework for timing and notification of General Imprest Warrant.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1004 regarding types of imprests and restrictions?,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning types of imprests and restrictions.,It removes all accountability related to types of imprests and restrictions.,It establishes the official rule governing types of imprests and restrictions.,d,FR 1004 specifically defines the official regulatory framework for types of imprests and restrictions.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1004 on types of imprests and restrictions?,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning types of imprests and restrictions.,It establishes the official rule governing types of imprests and restrictions.,It removes all accountability related to types of imprests and restrictions.,c,FR 1004 specifically defines the official regulatory framework for types of imprests and restrictions.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1004 guide actions related to types of imprests and restrictions?",It establishes the official rule governing types of imprests and restrictions.,It suspends normal procedures concerning types of imprests and restrictions.,It delegates the matter entirely to private discretion.,It removes all accountability related to types of imprests and restrictions.,a,FR 1004 specifically defines the official regulatory framework for types of imprests and restrictions.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1004 concerning types of imprests and restrictions?",It delegates the matter entirely to private discretion.,It removes all accountability related to types of imprests and restrictions.,It suspends normal procedures concerning types of imprests and restrictions.,It establishes the official rule governing types of imprests and restrictions.,d,FR 1004 specifically defines the official regulatory framework for types of imprests and restrictions.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1004 on types of imprests and restrictions?",It delegates the matter entirely to private discretion.,It removes all accountability related to types of imprests and restrictions.,It establishes the official rule governing types of imprests and restrictions.,It suspends normal procedures concerning types of imprests and restrictions.,c,FR 1004 specifically defines the official regulatory framework for types of imprests and restrictions.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1004 in managing types of imprests and restrictions?",It delegates the matter entirely to private discretion.,It removes all accountability related to types of imprests and restrictions.,It establishes the official rule governing types of imprests and restrictions.,It suspends normal procedures concerning types of imprests and restrictions.,c,FR 1004 specifically defines the official regulatory framework for types of imprests and restrictions.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1005 regarding application procedure for imprests?,It removes all accountability related to application procedure for imprests.,It suspends normal procedures concerning application procedure for imprests.,It establishes the official rule governing application procedure for imprests.,It delegates the matter entirely to private discretion.,c,FR 1005 specifically defines the official regulatory framework for application procedure for imprests.,fr
