source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,1–5,exam,FR 1101 is mainly about:,Pay excess cash into the bank immediately (beyond daily needs).,Keep excess cash in the cashier’s safe until month end.,Hold excess cash in the office strong-room for a week first.,Use excess cash to settle pending claims before deposit.,A,FR 1101 requires maximum use of banking facilities and immediate banking of cash beyond daily requirements. (FR 1101),fr
FR_2009,5–7,exam,Select the statement that correctly reflects FR 1101.,Keep excess cash in the cashier’s safe until month end.,Hold excess cash in the office strong-room for a week first.,Use excess cash to settle pending claims before deposit.,Pay excess cash into the bank immediately (beyond daily needs).,D,FR 1101 requires maximum use of banking facilities and immediate banking of cash beyond daily requirements. (FR 1101),fr
FR_2009,8–10,exam,"Scenario: A cashier has ₦2,000,000 in cash after close of business, far above the next day’s needs. What is the correct next step under FR 1101?",Hold excess cash in the office strong-room for a week first,Pay excess cash into the bank immediately (beyond daily needs),Keep excess cash in the cashier’s safe until month end,Use excess cash to settle pending claims before deposit,B,FR 1101 requires maximum use of banking facilities and immediate banking of cash beyond daily requirements. (FR 1101),fr
FR_2009,12–14,exam,Which duty is most consistent with senior management obligations under FR 1101?,Oversee a practice where staff: use excess cash to settle pending claims before deposit.,Ensure compliance by confirming that teams: pay excess cash into the bank immediately (beyond daily needs).,Oversee a practice where staff: hold excess cash in the office strong-room for a week first.,Oversee a practice where staff: keep excess cash in the cashier’s safe until month end.,B,FR 1101 requires maximum use of banking facilities and immediate banking of cash beyond daily requirements. (FR 1101),fr
FR_2009,15–16,exam,Which policy instruction would most effectively implement FR 1101 across units?,Adopt a practice that allows: use excess cash to settle pending claims before deposit.,Issue and enforce a written control that requires: pay excess cash into the bank immediately (beyond daily needs).,Adopt a practice that allows: keep excess cash in the cashier’s safe until month end.,Adopt a practice that allows: hold excess cash in the office strong-room for a week first.,B,FR 1101 requires maximum use of banking facilities and immediate banking of cash beyond daily requirements. (FR 1101),fr
FR_2009,17,exam,"At top management level, FR 1101 primarily strengthens which principle?",Liquidity control and reduced cash-holding risk.,Procurement speed and vendor convenience.,Staff welfare and allowances control.,Expansion of cash-on-hand limits.,A,"By banking excess cash promptly, the system reduces exposure to theft/loss and improves liquidity control. (FR 1101)",fr
FR_2009,1–5,exam,"Under FR 1102, what must be done?",Keep all reserve stocks in the cashier’s drawer since it is convenient.,Keep surplus cash/stamps/receipt books in a strong-room or reserve safe with at least two locks held by different officers.,Use a single-lock safe and let the cashier keep the only key.,Store reserve books on open shelves provided the room is locked.,B,FR 1102 mandates strong-room/reserve safe custody with dual-lock control (cashier + senior officer). (FR 1102),fr
FR_2009,5–7,exam,FR 1102 would be complied with by which action?,Keep surplus cash/stamps/receipt books in a strong-room or reserve safe with at least two locks held by different officers.,Keep all reserve stocks in the cashier’s drawer since it is convenient.,Store reserve books on open shelves provided the room is locked.,Use a single-lock safe and let the cashier keep the only key.,A,FR 1102 mandates strong-room/reserve safe custody with dual-lock control (cashier + senior officer). (FR 1102),fr
FR_2009,8–10,exam,Scenario: A compliance issue is identified during routine operations. What is the correct next step under FR 1102?,Keep all reserve stocks in the cashier’s drawer since it is convenient,Keep surplus cash/stamps/receipt books in a strong-room or reserve safe with at least two locks held by different officers,Use a single-lock safe and let the cashier keep the only key,Store reserve books on open shelves provided the room is locked,B,FR 1102 mandates strong-room/reserve safe custody with dual-lock control (cashier + senior officer). (FR 1102),fr
FR_2009,12–14,exam,"As a senior manager, which control should you enforce to meet FR 1102?",Oversee a practice where staff: keep all reserve stocks in the cashier’s drawer since it is convenient.,Oversee a practice where staff: store reserve books on open shelves provided the room is locked.,Oversee a practice where staff: use a single-lock safe and let the cashier keep the only key.,Ensure compliance by confirming that teams: keep surplus cash/stamps/receipt books in a strong-room or reserve safe with at least two locks held by different officers.,D,FR 1102 mandates strong-room/reserve safe custody with dual-lock control (cashier + senior officer). (FR 1102),fr
