source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,"=""1-5""",exam,What subject does FR 121 address?,An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,Delegating duties does not relieve an officer of responsibility for financial functions.,A,FR 121 provides that An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,fr
FR_2009,"=""5-7""",exam,Which statement correctly reflects FR 121?,Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,C,FR 121 provides that An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,fr
FR_2009,"=""8-10""",exam,A department is updating procedures. Which action complies with FR 121?,An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,"Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",Delegating duties does not relieve an officer of responsibility for financial functions.,A,FR 121 provides that An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,fr
FR_2009,"=""12-14""",exam,Which management control is required by FR 121?,Delegating duties does not relieve an officer of responsibility for financial functions.,An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,B,FR 121 provides that An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,fr
FR_2009,"=""15-16""",exam,Which decision implements FR 121?,"Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,D,FR 121 provides that An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,fr
FR_2009,"=""17""",exam,FR 121 strengthens which governance objective?,"Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",B,FR 121 provides that An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,fr
FR_2009,"=""1-5""",exam,What core idea is introduced in FR 122?,Delegating duties does not relieve an officer of responsibility for financial functions.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,B,"FR 122 provides that In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",fr
FR_2009,"=""5-7""",exam,FR 122 provides that:,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.","Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,Delegating duties does not relieve an officer of responsibility for financial functions.,A,"FR 122 provides that In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",fr
FR_2009,"=""8-10""",exam,Which workflow decision aligns with FR 122?,The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,C,"FR 122 provides that In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",fr
FR_2009,"=""12-14""",exam,Which gap would violate FR 122?,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,B,"FR 122 provides that In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",fr
FR_2009,"=""15-16""",exam,Which policy measure aligns with FR 122?,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,Delegating duties does not relieve an officer of responsibility for financial functions.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",D,"FR 122 provides that In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",fr
FR_2009,"=""17""",exam,Which executive priority is supported by FR 122?,Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,C,"FR 122 provides that In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",fr
FR_2009,"=""1-5""",exam,FR 123 is mainly concerned with what?,Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,"Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,B,"FR 123 provides that Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",fr
FR_2009,"=""5-7""",exam,Which option best summarizes FR 123?,"Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",A,"FR 123 provides that Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",fr
FR_2009,"=""8-10""",exam,Which routine control demonstrates compliance with FR 123?,"Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,A,"FR 123 provides that Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",fr
FR_2009,"=""12-14""",exam,Which oversight responsibility is stated in FR 123?,"Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,Delegating duties does not relieve an officer of responsibility for financial functions.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",A,"FR 123 provides that Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",fr
FR_2009,"=""15-16""",exam,"As a Director, which control operationalizes FR 123?","Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,A,"FR 123 provides that Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",fr
FR_2009,"=""17""",exam,Which institutional safeguard is central to FR 123?,"In a Self Accounting Unit, the Accounting Officer must install and maintain proper accounting systems under the Accountant-General’s supervision.",The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,"Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,C,"FR 123 provides that Officers with financial duties must maintain proper accounts, safeguard public funds, supervise revenue/expenditure and respond to audit queries.",fr
FR_2009,"=""1-5""",exam,Which principle appears in FR 124?,Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,The Accountant-General and Accounting Officers must conduct surprise inspections and report financial irregularities.,Accounting Officers must seek Accountant-General advice on unclear matters and cannot depart from regulations without concurrence.,An Officer Controlling Expenditure is delegated authority by an Accounting Officer to control a sub-head or specified amount of expenditure.,A,FR 124 provides that Officers are personally and financially responsible for proper performance of financial duties and accurate public accounts.,fr
