source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,01-May,exam,FR 1401 states that personal advances refers to which of the following?,"A cash loan to an individual federal officer, grantable only under the Financial Regulations and Public Service Rules.","Any advance to an officer, whether personal or official, authorised solely by the Accountant-General.","An imprest issued for routine office expenditure, repayable only at year-end.",A deposit held below-the-line for third parties and refundable on demand.,A,FR 1401 limits personal advances to cash loans to individual officers and restricts them to the authority of the Financial Regulations and Public Service Rules.,fr
FR_2009,05-Jul,exam,"In applying FR 1401, which of the following should happen?","An imprest issued for routine office expenditure, repayable only at year-end.",A deposit held below-the-line for third parties and refundable on demand.,"A cash loan to an individual federal officer, grantable only under the Financial Regulations and Public Service Rules.","Any advance to an officer, whether personal or official, authorised solely by the Accountant-General.",C,FR 1401 limits personal advances to cash loans to individual officers and restricts them to the authority of the Financial Regulations and Public Service Rules.,fr
FR_2009,08-Oct,exam,"For administrative planning under FR 1401, which workflow is correct?","Any advance to an officer, whether personal or official, authorised solely by the Accountant-General.","An imprest issued for routine office expenditure, repayable only at year-end.",A deposit held below-the-line for third parties and refundable on demand.,"Ensure that: A cash loan to an individual federal officer, grantable only under the Financial Regulations and Public Service Rules.",D,FR 1401 limits personal advances to cash loans to individual officers and restricts them to the authority of the Financial Regulations and Public Service Rules.,fr
FR_2009,Dec-14,exam,FR 1401 places which oversight responsibility on senior management?,"An imprest issued for routine office expenditure, repayable only at year-end.","Any advance to an officer, whether personal or official, authorised solely by the Accountant-General.",A deposit held below-the-line for third parties and refundable on demand.,"Ensure that: A cash loan to an individual federal officer, grantable only under the Financial Regulations and Public Service Rules.",D,FR 1401 limits personal advances to cash loans to individual officers and restricts them to the authority of the Financial Regulations and Public Service Rules.,fr
FR_2009,15-16,exam,Which policy directive from a Director would best ensure compliance with FR 1401?,"Any advance to an officer, whether personal or official, authorised solely by the Accountant-General.",A deposit held below-the-line for third parties and refundable on demand.,"Ensure that: A cash loan to an individual federal officer, grantable only under the Financial Regulations and Public Service Rules.","An imprest issued for routine office expenditure, repayable only at year-end.",C,FR 1401 limits personal advances to cash loans to individual officers and restricts them to the authority of the Financial Regulations and Public Service Rules.,fr
FR_2009,17,exam,Which enterprise-wide control stance best matches the intent of FR 1401?,"An imprest issued for routine office expenditure, repayable only at year-end.","Any advance to an officer, whether personal or official, authorised solely by the Accountant-General.",A deposit held below-the-line for third parties and refundable on demand.,"Ensure that: A cash loan to an individual federal officer, grantable only under the Financial Regulations and Public Service Rules.",D,FR 1401 limits personal advances to cash loans to individual officers and restricts them to the authority of the Financial Regulations and Public Service Rules.,fr
FR_2009,01-May,exam,FR 1402 provides that non-personal advances & approvals is/are… Which option completes this correctly?,"A cash loan to an officer for private needs, approved by any Head of Department without limits.",A revenue refund mechanism that must always be approved by the Auditor-General.,"An official-capacity advance (e.g., imprest/loss-of-funds), generally requiring Minister of Finance approval except FR 2524 cases or up to ₦50,000 approved by the Accounting Officer, with applications stating reason, clearance method, and responsible person.","Any advance above ₦50,000 that can be approved by the Accounting Officer without exception.",C,"FR 1402 defines non-personal advances and sets approval rules (Minister of Finance, with stated exceptions), plus application content and project governance.",fr
FR_2009,05-Jul,exam,A supervisor wants to follow FR 1402. Which is the correct step?,A revenue refund mechanism that must always be approved by the Auditor-General.,"A cash loan to an officer for private needs, approved by any Head of Department without limits.","Any advance above ₦50,000 that can be approved by the Accounting Officer without exception.","An official-capacity advance (e.g., imprest/loss-of-funds), generally requiring Minister of Finance approval except FR 2524 cases or up to ₦50,000 approved by the Accounting Officer, with applications stating reason, clearance method, and responsible person.",D,"FR 1402 defines non-personal advances and sets approval rules (Minister of Finance, with stated exceptions), plus application content and project governance.",fr
FR_2009,08-Oct,exam,"As a unit head, you must operationalise FR 1402. Which practice best aligns with the regulation?","A cash loan to an officer for private needs, approved by any Head of Department without limits.","Any advance above ₦50,000 that can be approved by the Accounting Officer without exception.",A revenue refund mechanism that must always be approved by the Auditor-General.,"Ensure that: An official-capacity advance (e.g., imprest/loss-of-funds), generally requiring Minister of Finance approval except FR 2524 cases or up to ₦50,000 approved by the Accounting Officer, with applications stating reason, clearance method, and responsible person.",D,"FR 1402 defines non-personal advances and sets approval rules (Minister of Finance, with stated exceptions), plus application content and project governance.",fr
FR_2009,Dec-14,exam,Which management-level action best demonstrates compliance with FR 1402?,"Any advance above ₦50,000 that can be approved by the Accounting Officer without exception.","Ensure that: An official-capacity advance (e.g., imprest/loss-of-funds), generally requiring Minister of Finance approval except FR 2524 cases or up to ₦50,000 approved by the Accounting Officer, with applications stating reason, clearance method, and responsible person.","A cash loan to an officer for private needs, approved by any Head of Department without limits.",A revenue refund mechanism that must always be approved by the Auditor-General.,B,"FR 1402 defines non-personal advances and sets approval rules (Minister of Finance, with stated exceptions), plus application content and project governance.",fr
