source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,1-5,exam,Meaning of a self‑accounting unit refers to responsibility for maintaining detailed records of what?,Revenue and expenditure only,Below‑the‑line transactions only,"All financial records including detailed expenditure, revenue and below‑the‑line items",Personnel files,C,"A self‑accounting unit maintains detailed records of expenditure, revenue and below‑the‑line items.",fr
FR_2009,5-7,exam,Which authority must a self‑accounting unit report to periodically?,Auditor‑General,Accountant‑General,Minister of Finance,Budget Office,B,They must account to the Accountant‑General monthly and annually.,fr
FR_2009,8-10,exam,Why is a unit designated self‑accounting?,To eliminate audits,To decentralise detailed accounting responsibility,To avoid reporting,To reduce staffing,B,Status transfers detailed accounting responsibility to the Accounting Officer.,fr
FR_2009,12-14,exam,A Director reviewing compliance would confirm which feature?,Weekly submission of estimates,Monthly head‑level accounting returns,Quarterly staff appraisal,Daily payroll audit,B,They must render accounts monthly in Head/Sub‑Head form.,fr
FR_2009,15-16,exam,"From a governance standpoint, self‑accounting status primarily affects what?",Procurement rules,Delegation of financial record responsibility,Staff promotion,Leave approvals,B,It changes responsibility for maintaining detailed accounts.,fr
FR_2009,17,exam,"At executive policy level, the defining test of self‑accounting designation is whether the unit can:",Operate independently of audit,Account to AGF in prescribed form,Set its own budget,Ignore treasury rules,B,Ultimate criterion is accountability to Accountant‑General.,fr
FR_2009,1-5,exam,Who must approve self‑accounting status?,Auditor‑General,Accountant‑General,Head of Service,Director Finance,B,AG approval is mandatory.,fr
FR_2009,5-7,exam,Which is a prerequisite condition?,Transport allowance policy,Internal Audit Unit,Public relations unit,Training manual,B,A fully constituted Internal Audit Unit is required.,fr
FR_2009,8-10,exam,"Before approval, what must exist structurally?",Press office,Accounting code approved by AG,Union office,Budget speech,B,Accounting code must be approved.,fr
FR_2009,12-14,exam,Senior management validation would check existence of which facility?,Central Pay Office,Legal library,Cafeteria,Clinic,A,A well‑equipped Central Pay Office is required.,fr
FR_2009,15-16,exam,"At directorate review stage, which deficiency blocks approval?",Lack of vehicles,Insufficient finance staff,No conference hall,No website,B,Adequate manpower in Finance & Accounts is mandatory.,fr
FR_2009,17,exam,"Strategically, AG approval conditions ensure:",Political neutrality,Operational accounting capacity,Media compliance,Regional balance,B,They ensure capability to manage accounts properly.,fr
FR_2009,1-5,exam,Who ensures accounts are under a competent Treasury Accountant?,Internal Auditor,Accounting Officer,Cashier,Storekeeper,B,Accounting Officer must ensure this.,fr
FR_2009,5-7,exam,This arrangement is done in consultation with whom?,Minister,Auditor,Accountant‑General,Governor,C,It must be done with AG.,fr
FR_2009,8-10,exam,Purpose of placing accounts under Treasury Accountant is to:,Increase revenue,Ensure professional control,Reduce audits,Avoid reports,B,It ensures competent oversight.,fr
FR_2009,12-14,exam,"At senior level, failure to appoint competent Treasury Accountant risks:",Policy delay,Weak financial control,Staff strike,Budget surplus,B,Competence ensures control integrity.,fr
FR_2009,15-16,exam,Director‑level audit concern would focus on:,Furniture condition,Technical accounting supervision,Office colour,Staff uniforms,B,Professional supervision is key.,fr
FR_2009,17,exam,At executive governance level this rule safeguards:,Political influence,Integrity of financial records,Union relations,Procurement speed,B,It protects record integrity.,fr
FR_2009,1-5,exam,Who maintains core accounting records?,Cashier,Head of Finance/Accounts,Messenger,Clerk,B,They are responsible.,fr
FR_2009,5-7,exam,Which document must be examined for correctness?,Leave forms,Summary vouchers,ID cards,Memos,B,They must examine vouchers.,fr
FR_2009,8-10,exam,Why compare voucher totals with variation sheets?,To reduce printing,To verify accuracy,To train staff,To file records,B,It ensures correctness.,fr
FR_2009,12-14,exam,Management control objective of extracting voucher copies is:,Decoration,Record retention,Advertising,Training,B,Copies kept for records.,fr
