source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,1-5,exam,Which statement correctly reflects the core provision of Regulation 2001?,Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,D,"Regulation 2001 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,5-7,exam,A junior officer applies Regulation 2001. Which action would be correct?,Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,D,"Regulation 2001 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,8-10,exam,"While coordinating departmental transport logistics, how should Regulation 2001 guide decisions?",Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,B,"Regulation 2001 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,12-14,exam,Which managerial judgment best conforms to Regulation 2001?,Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,D,"Regulation 2001 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,15-16,exam,"From a policy enforcement standpoint, what does Regulation 2001 require?",Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,D,"Regulation 2001 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,17,exam,Which high‑level compliance stance reflects Regulation 2001?,Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,B,"Regulation 2001 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,1-5,exam,Identify the primary control principle stated in Regulation 2002.,Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,C,"Regulation 2002 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,5-7,exam,Which scenario properly follows Regulation 2002?,Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,D,"Regulation 2002 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,8-10,exam,Which administrative approach demonstrates proper application of Regulation 2002?,Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,C,"Regulation 2002 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
FR_2009,12-14,exam,"When supervising compliance, how should Regulation 2002 be interpreted?",Full compliance with documented authorization and controls,Action based solely on verbal approval,Delegation without record keeping,Discretionary handling without oversight,A,"Regulation 2002 requires formal compliance, documentation, and proper authorization consistent with financial regulations.",fr
