source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,"=""1-5""",exam,Which principle appears in FR 301?,A General Warrant authorizes payment of approved annual expenditure from the estimates.,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,Virement is restricted and cannot create new sub-heads or bypass audit queries.,Unspent recurrent balances cannot be re-voted and require supplementary provision or virement.,B,FR 301 provides that Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,fr
FR_2009,"=""5-7""",exam,Which description matches FR 301?,A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,A General Warrant authorizes payment of approved annual expenditure from the estimates.,"Virement applications must follow strict timing, approval, and reporting procedures.",B,FR 301 provides that Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,fr
FR_2009,"=""8-10""",exam,What workflow decision aligns with FR 301?,A Virement Warrant reallocates savings between sub-heads with National Assembly approval.,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,A Supplementary General Warrant replenishes the Contingency Fund from the Consolidated Revenue Fund.,A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,B,FR 301 provides that Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,fr
FR_2009,"=""12-14""",exam,What management gap violates FR 301?,Variations in establishment or allowances require approval of Finance Minister and Head of Civil Service.,Contingency expenditure must later receive National Assembly approval and not be charged directly to the fund.,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,A Virement Warrant reallocates savings between sub-heads with National Assembly approval.,C,FR 301 provides that Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,fr
FR_2009,"=""15-16""",exam,"As a Director, which control enforces FR 301?",Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,A Virement Warrant reallocates savings between sub-heads with National Assembly approval.,A Supplementary General Warrant authorizes additional approved expenditure from supplementary estimates.,Applications for supplementary provision must follow formal submission and ministerial review.,A,FR 301 provides that Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,fr
FR_2009,"=""17""",exam,"At executive level, what safeguard does FR 301 reinforce?",Statutory expenditure warrants authorize additional constitutionally chargeable spending.,Officers cannot exceed approved sub-head limits without National Assembly approval.,Virement is restricted and cannot create new sub-heads or bypass audit queries.,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,D,FR 301 provides that Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,fr
FR_2009,"=""1-5""",exam,What obligation is introduced in FR 302?,Officers must enforce reduced balances after virement and are personally responsible.,A General Warrant authorizes payment of approved annual expenditure from the estimates.,Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,A Supplementary General Warrant replenishes the Contingency Fund from the Consolidated Revenue Fund.,C,FR 302 provides that Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,fr
FR_2009,"=""5-7""",exam,Which option summarizes FR 302?,A Supplementary General Warrant authorizes additional approved expenditure from supplementary estimates.,Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,Variations in establishment or allowances require approval of Finance Minister and Head of Civil Service.,Applications for supplementary provision must follow formal submission and ministerial review.,B,FR 302 provides that Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,fr
FR_2009,"=""8-10""",exam,Which operational step implements FR 302?,A Supplementary Contingencies Warrant funds urgent exceptional expenditure from the Contingencies Fund.,Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,A Supplementary General Warrant replenishes the Contingency Fund from the Consolidated Revenue Fund.,A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,B,FR 302 provides that Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,fr
FR_2009,"=""12-14""",exam,"During an audit, which failure would breach FR 302?",Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,A Supplementary General Warrant authorizes additional approved expenditure from supplementary estimates.,Applications for supplementary provision must follow formal submission and ministerial review.,Unspent recurrent balances cannot be re-voted and require supplementary provision or virement.,A,FR 302 provides that Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,fr
FR_2009,"=""15-16""",exam,Which policy measure implements FR 302?,Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,A Supplementary General Warrant replenishes the Contingency Fund from the Consolidated Revenue Fund.,A Virement Warrant reallocates savings between sub-heads with National Assembly approval.,Unspent recurrent balances cannot be re-voted and require supplementary provision or virement.,A,FR 302 provides that Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,fr
FR_2009,"=""17""",exam,What top-level risk does FR 302 address?,Contingency expenditure must later receive National Assembly approval and not be charged directly to the fund.,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,Applications for supplementary provision must follow formal submission and ministerial review.,C,FR 302 provides that Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,fr
FR_2009,"=""1-5""",exam,What subject is defined in FR 303?,Applications for supplementary provision must follow formal submission and ministerial review.,A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,A Supplementary Contingencies Warrant funds urgent exceptional expenditure from the Contingencies Fund.,Virement is restricted and cannot create new sub-heads or bypass audit queries.,B,FR 303 provides that A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,fr
FR_2009,"=""5-7""",exam,FR 303 provides that:,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,Officers must enforce reduced balances after virement and are personally responsible.,A General Warrant authorizes payment of approved annual expenditure from the estimates.,B,FR 303 provides that A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,fr
FR_2009,"=""8-10""",exam,Which procedure reflects FR 303?,Variations in establishment or allowances require approval of Finance Minister and Head of Civil Service.,Officers cannot exceed approved sub-head limits without National Assembly approval.,A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,A Supplementary Contingencies Warrant funds urgent exceptional expenditure from the Contingencies Fund.,C,FR 303 provides that A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,fr
FR_2009,"=""12-14""",exam,Which compliance duty arises from FR 303?,Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,Applications for supplementary provision must follow formal submission and ministerial review.,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,B,FR 303 provides that A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,fr
FR_2009,"=""15-16""",exam,What high-level action supports FR 303?,A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,Recurrent expenditure may only be incurred with a Minister-signed warrant from the Consolidated Revenue Fund.,Expenditure requires ministerial warrant authority and officers are personally liable for unauthorized spending.,"Virement applications must follow strict timing, approval, and reporting procedures.",A,FR 303 provides that A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,fr
FR_2009,"=""17""",exam,"Strategically, FR 303 protects what?",A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,A Supplementary General Warrant authorizes additional approved expenditure from supplementary estimates.,"Virement applications must follow strict timing, approval, and reporting procedures.",Applications for supplementary provision must follow formal submission and ministerial review.,A,FR 303 provides that A Provisional General Warrant funds government services when the Appropriation Act is not yet operational.,fr
FR_2009,"=""1-5""",exam,FR 304 establishes which rule?,A Supplementary General Warrant authorizes additional approved expenditure from supplementary estimates.,"Virement applications must follow strict timing, approval, and reporting procedures.",Officers must enforce reduced balances after virement and are personally responsible.,A General Warrant authorizes payment of approved annual expenditure from the estimates.,D,FR 304 provides that A General Warrant authorizes payment of approved annual expenditure from the estimates.,fr
FR_2009,"=""5-7""",exam,Which statement reflects FR 304?,A General Warrant authorizes payment of approved annual expenditure from the estimates.,"Virement applications must follow strict timing, approval, and reporting procedures.",A Supplementary General Warrant authorizes additional approved expenditure from supplementary estimates.,Statutory expenditure warrants authorize additional constitutionally chargeable spending.,A,FR 304 provides that A General Warrant authorizes payment of approved annual expenditure from the estimates.,fr
