source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,"=""1-5""",exam,FR 501 mainly addresses what?,"A Sub-Accounting Officer may pay only if voucher is properly certified, checked/stamped for station, within 3 months, scheduled, and entered in the vote book.",Alterations to voucher amounts are not allowed; where necessary a new voucher is prepared; other changes require full signatures.,The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,A detailed flow chart must accompany applications for procedure variation or introduction in a new office.,C,FR 501 provides that The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,fr
FR_2009,"=""5-7""",exam,Which description matches FR 501?,"A Sub-Accounting Officer may pay only if voucher is properly certified, checked/stamped for station, within 3 months, scheduled, and entered in the vote book.",The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,"Payment voucher preparation rules include legible ink/typing, no pencil or erasures/correction fluid, and proper formatting of amounts.",Alterations to voucher amounts are not allowed; where necessary a new voucher is prepared; other changes require full signatures.,B,FR 501 provides that The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,fr
FR_2009,"=""8-10""",exam,"In daily operations, which action demonstrates FR 501 compliance?",Each certificate on a payment voucher must be signed separately; signatures must not run across multiple certificates.,"Vouchers must contain full service particulars, supporting documents, and quote appropriate warrant authority (and A.I.E where applicable).","A Sub-Accounting Officer may pay only if voucher is properly certified, checked/stamped for station, within 3 months, scheduled, and entered in the vote book.",The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,D,FR 501 provides that The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,fr
FR_2009,"=""12-14""",exam,Which control weakness would auditors flag under FR 501?,The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,Each certificate on a payment voucher must be signed separately; signatures must not run across multiple certificates.,Duplicate/triplicate copies must be clearly marked and copies are not acceptable as payment vouchers.,Alterations to voucher amounts are not allowed; where necessary a new voucher is prepared; other changes require full signatures.,A,FR 501 provides that The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,fr
FR_2009,"=""15-16""",exam,What high-level action supports FR 501?,Only original vouchers are signed in full in ink/ball pen; copies are initialed/stamped; facsimile signature stamps are prohibited.,"To standardize accounting across ministries, offices must use Financial Regulations, Treasury Accounting Manual and Treasury Circulars.",A detailed flow chart must accompany applications for procedure variation or introduction in a new office.,The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,D,FR 501 provides that The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,fr
FR_2009,"=""17""",exam,Which institutional principle is implied by FR 501?,Alterations to voucher amounts are not allowed; where necessary a new voucher is prepared; other changes require full signatures.,"Vouchers must contain full service particulars, supporting documents, and quote appropriate warrant authority (and A.I.E where applicable).",Officers controlling votes must maintain a payment voucher register and must not sign a voucher until it is registered and verified.,The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,D,FR 501 provides that The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,fr
FR_2009,"=""1-5""",exam,Which principle is stated in FR 502?,Duplicate/triplicate copies must be clearly marked and copies are not acceptable as payment vouchers.,"Vouchers must be checked, stamped ‘checked and passed’ for a named station, signed by checking officer, and processed within 48 hours.",Each certificate on a payment voucher must be signed separately; signatures must not run across multiple certificates.,The Accountant-General issues Treasury Circulars and an Accounting Manual to guide compliance with Financial Regulations.,D,FR 502 provides that The Accountant-General issues Treasury Circulars and an Accounting Manual to guide compliance with Financial Regulations.,fr
FR_2009,"=""5-7""",exam,FR 502 provides that:,Alterations to voucher amounts are not allowed; where necessary a new voucher is prepared; other changes require full signatures.,The Accountant-General issues Treasury Circulars and an Accounting Manual to guide compliance with Financial Regulations.,The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,"Payment voucher preparation rules include legible ink/typing, no pencil or erasures/correction fluid, and proper formatting of amounts.",B,FR 502 provides that The Accountant-General issues Treasury Circulars and an Accounting Manual to guide compliance with Financial Regulations.,fr
FR_2009,"=""8-10""",exam,What workflow decision aligns with FR 502?,"A Sub-Accounting Officer may pay only if voucher is properly certified, checked/stamped for station, within 3 months, scheduled, and entered in the vote book.",The Accountant-General issues Treasury Circulars and an Accounting Manual to guide compliance with Financial Regulations.,"Vouchers must be checked, stamped ‘checked and passed’ for a named station, signed by checking officer, and processed within 48 hours.","To standardize accounting across ministries, offices must use Financial Regulations, Treasury Accounting Manual and Treasury Circulars.",B,FR 502 provides that The Accountant-General issues Treasury Circulars and an Accounting Manual to guide compliance with Financial Regulations.,fr
FR_2009,"=""12-14""",exam,What management gap violates FR 502?,"Vouchers must be checked, stamped ‘checked and passed’ for a named station, signed by checking officer, and processed within 48 hours.",A detailed flow chart must accompany applications for procedure variation or introduction in a new office.,The Minister of Finance has authority over federal finance/accounting affairs and directs issuance of Financial Regulations for public funds and assets management.,The Accountant-General issues Treasury Circulars and an Accounting Manual to guide compliance with Financial Regulations.,D,FR 502 provides that The Accountant-General issues Treasury Circulars and an Accounting Manual to guide compliance with Financial Regulations.,fr
