source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,01-May,exam,FR 1701: Which statement best captures the rule on Internal Audit meaning and responsibility?,Audit stamps may be shared among auditors to speed up certification.,Vouchers may be held in Internal Audit until month-end to reduce paperwork.,Internal Audit is a managerial control that measures/evaluates effectiveness of Internal Control system,Internal Audit certification must be by handwritten endorsement only.,C,FR 1701 emphasises that Internal Audit is a managerial control that measures/evaluates effectiveness of Internal Control system.,fr
FR_2009,05-Jul,exam,A unit applies FR 1701 on Internal Audit meaning and responsibility. Which action is compliant?,Internal Audit certification must be by handwritten endorsement only.,Internal Audit is a managerial control that measures/evaluates effectiveness of Internal Control system,Vouchers may be held in Internal Audit until month-end to reduce paperwork.,Internal Audit replaces normal departmental checks once the unit exists.,B,FR 1701 emphasises that Internal Audit is a managerial control that measures/evaluates effectiveness of Internal Control system.,fr
FR_2009,08-Oct,exam,You are designing procedures for Internal Audit meaning and responsibility. Which workflow best satisfies FR 1701?,Vouchers may be held in Internal Audit until month-end to reduce paperwork.,Internal Audit replaces normal departmental checks once the unit exists.,Internal Audit is a managerial control that measures/evaluates effectiveness of Internal Control system,Internal Audit certification must be by handwritten endorsement only.,C,FR 1701 emphasises that Internal Audit is a managerial control that measures/evaluates effectiveness of Internal Control system.,fr
FR_2009,Dec-14,exam,"As senior management, which oversight duty on Internal Audit meaning and responsibility is required by FR 1701?",Vouchers may be held in Internal Audit until month-end to reduce paperwork.,"Accounting Officer ensures Internal Audit Unit is established for continuous audit of accounts/records: revenue, expenditure, assets, stores",Audit stamps may be shared among auditors to speed up certification.,Internal Auditors may be assigned routine accounting duties to cover staff shortages.,B,"FR 1701 emphasises that Accounting Officer ensures Internal Audit Unit is established for continuous audit of accounts/records: revenue, expenditure, assets, stores.",fr
FR_2009,15-16,exam,"As Director (F&A), which control architecture for Internal Audit meaning and responsibility is most defensible under FR 1701?",Internal Audit replaces normal departmental checks once the unit exists.,Existence of IA Unit does not remove individual responsibilities or normal departmental checks,Audit stamps may be shared among auditors to speed up certification.,Vouchers may be held in Internal Audit until month-end to reduce paperwork.,B,FR 1701 emphasises that Existence of IA Unit does not remove individual responsibilities or normal departmental checks.,fr
FR_2009,17,exam,"At executive level, which policy directive best institutionalises FR 1701 compliance on Internal Audit meaning and responsibility?",Internal Audit is a managerial control that measures/evaluates effectiveness of Internal Control system,Internal Auditors may be assigned routine accounting duties to cover staff shortages.,Internal Audit replaces normal departmental checks once the unit exists.,Internal Audit certification must be by handwritten endorsement only.,A,FR 1701 emphasises that Internal Audit is a managerial control that measures/evaluates effectiveness of Internal Control system.,fr
FR_2009,01-May,exam,FR 1702 focuses on what requirement regarding Placement of competent accountant for IA units?,Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units,Internal Auditors may be assigned routine accounting duties to cover staff shortages.,Internal Audit certification must be by handwritten endorsement only.,Internal Audit replaces normal departmental checks once the unit exists.,A,FR 1702 emphasises that Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units.,fr
FR_2009,05-Jul,exam,Which option correctly interprets FR 1702 in handling Placement of competent accountant for IA units?,Vouchers may be held in Internal Audit until month-end to reduce paperwork.,Audit stamps may be shared among auditors to speed up certification.,Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units,Internal Audit certification must be by handwritten endorsement only.,C,FR 1702 emphasises that Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units.,fr
FR_2009,08-Oct,exam,"During monthly planning for Placement of competent accountant for IA units, which control arrangement implements FR 1702 correctly?",Vouchers may be held in Internal Audit until month-end to reduce paperwork.,Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units,Internal Auditors may be assigned routine accounting duties to cover staff shortages.,Internal Audit replaces normal departmental checks once the unit exists.,B,FR 1702 emphasises that Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units.,fr
FR_2009,Dec-14,exam,Which management decision best fulfils FR 1702 responsibilities for Placement of competent accountant for IA units?,Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units,Internal Audit replaces normal departmental checks once the unit exists.,Audit stamps may be shared among auditors to speed up certification.,Vouchers may be held in Internal Audit until month-end to reduce paperwork.,A,FR 1702 emphasises that Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units.,fr
FR_2009,15-16,exam,Which director-level risk control best complies with FR 1702 on Placement of competent accountant for IA units?,Vouchers may be held in Internal Audit until month-end to reduce paperwork.,Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units,Internal Audit certification must be by handwritten endorsement only.,Internal Audit replaces normal departmental checks once the unit exists.,B,FR 1702 emphasises that Accountant-General ensures suitably competent Accountant placed directly in charge of Internal Audit Units.,fr
