source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,17,trial,A top executive detects widespread procedural erosion across ministries. The appropriate response is to:,Initiate system-wide governance reform,Address only isolated cases,Delegate entirely to departments,Delay intervention,A,Systemic erosion requires systemic reform.,psr
PSR 2021,17,trial,"At apex level, disciplinary credibility depends primarily on:",Institutional impartiality,Administrative speed,Public secrecy,Political negotiation,A,Impartiality sustains legitimacy.,psr
PSR 2021,17,trial,A national executive must align confirmation frameworks with:,Long-term institutional sustainability,Short-term popularity,External pressure,Personal discretion,A,Sustainability is strategic priority.,psr
PSR 2021,17,trial,Failure to audit governance systems at top level risks:,Nationwide institutional weakness,Immediate efficiency gains,Faster decisions,Reduced oversight,A,Weak systems propagate failure.,psr
PSR 2021,17,trial,Executive stewardship requires balancing:,Accountability with operational stability,Speed with secrecy,Authority with popularity,Cost with training,A,Balance preserves governance.,psr
PSR 2021,17,trial,Apex leaders maintain trust through:,Transparent rule-based governance,Confidential discretion,Selective enforcement,Political accommodation,A,Transparency builds public trust.,psr
PSR 2021,17,trial,National workforce integrity depends on:,Uniform enforcement standards,Departmental autonomy only,Informal practices,External influence,A,Uniformity ensures cohesion.,psr
PSR 2021,17,trial,A top executive addressing systemic misconduct should:,Implement coordinated corrective frameworks,Ignore isolated cases,Delegate externally,Delay investigation,A,Coordination ensures effectiveness.,psr
PSR 2021,17,trial,Executive legitimacy is strengthened by:,Consistent ethical leadership,Selective transparency,Reduced oversight,Administrative secrecy,A,Ethics underpin legitimacy.,psr
PSR 2021,17,trial,Apex governance requires continuous:,Institutional performance monitoring,Reactive crisis response,Reduced reporting,External delegation,A,Monitoring prevents deterioration.,psr
PSR 2021,17,exam,National governance stability depends heavily on:,Predictable executive enforcement,Personal discretion,Political convenience,Administrative secrecy,A,Predictability stabilizes systems.,psr
PSR 2021,17,exam,Failure to standardize executive procedures leads to:,Fragmented institutional control,Immediate reform,Faster promotions,Reduced accountability,A,Fragmentation weakens coordination.,psr
PSR 2021,17,exam,A top executive must escalate unresolved systemic risk to:,Highest appropriate authority,Ignore minor threats,Delay indefinitely,Delegate externally,A,Escalation ensures resolution.,psr
PSR 2021,17,exam,Institutional stewardship requires executives to:,Anticipate governance threats proactively,React after crises only,Reduce documentation,Limit oversight,A,Proactive anticipation prevents failure.,psr
PSR 2021,17,exam,Apex leadership strengthens resilience by:,Embedding national compliance frameworks,Allowing informal autonomy,Reducing audits,Avoiding reporting,A,Frameworks institutionalize stability.,psr
PSR 2021,17,exam,Executive secrecy in disciplinary systems risks:,Public distrust,Improved efficiency,Faster operations,Reduced workload,A,Secrecy erodes trust.,psr
PSR 2021,17,exam,Strategic governance sustainability requires:,Long-term institutional investment,Short-term convenience,External pressure,Random allocation,A,Investment ensures durability.,psr
PSR 2021,17,exam,A top executive reinforces ethical culture by:,Modeling principled national leadership,Delegating ethics externally,Reducing oversight,Avoiding accountability,A,Leadership behavior sets ethical standards.,psr
PSR 2021,17,exam,System-wide disciplinary inconsistency results in:,Erosion of public confidence,Immediate efficiency gains,Faster decisions,Reduced supervision,A,Inconsistency undermines trust.,psr
PSR 2021,17,exam,Apex accountability depends on:,Structured oversight institutions,Personal authority alone,Political favoritism,Administrative secrecy,A,Institutions sustain accountability.,psr
PSR 2021,17,exam,A top executive facing conflicting departmental disciplinary standards should:,Impose unified national guidelines,Allow departments full autonomy,Delay intervention indefinitely,Delegate externally,A,Unified standards ensure coherence.,psr
PSR 2021,17,exam,National institutional trust is weakened when executives:,Apply rules inconsistently,Document decisions carefully,Monitor compliance regularly,Encourage transparency,A,Inconsistency erodes confidence.,psr
PSR 2021,17,exam,Apex leaders must evaluate governance frameworks to:,Detect systemic vulnerabilities,Reduce administrative workload,Accelerate promotions,Limit reporting,A,Evaluation exposes weaknesses.,psr
PSR 2021,17,exam,Executive accountability is strongest when decisions are:,Traceable and reviewable,Confidential and informal,Politically negotiated,Delegated blindly,A,Traceability ensures oversight.,psr
PSR 2021,17,exam,Failure to coordinate disciplinary reforms nationally causes:,Fragmented governance response,Immediate improvement,Faster implementation,Reduced supervision,A,Fragmentation weakens effectiveness.,psr
PSR 2021,17,exam,A top executive must prioritize during systemic crisis:,Institutional stability and legality,Public popularity alone,Cost reduction only,Administrative secrecy,A,Stability and legality guide crisis action.,psr
PSR 2021,17,exam,National compliance culture improves when executives:,Model consistent ethical enforcement,Reduce oversight,Delegate ethics externally,Avoid audits,A,Leadership example drives culture.,psr
PSR 2021,17,exam,Apex stewardship requires continuous:,Cross-ministry performance review,Reactive intervention only,Reduced reporting,External mediation,A,Continuous review maintains standards.,psr
