source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,8-10,trial,A newly recruited officer repeatedly violates basic procedures during probation. The most appropriate management action is to:,Ignore behavior until confirmation,Extend probation for reassessment,Confirm automatically,Transfer immediately,B,Extension allows further evaluation before confirmation.,psr
PSR 2021,8-10,trial,"During an investigation, management suspends an officer whose presence could influence witnesses. This action primarily protects:",Administrative neutrality,Officer reputation,Salary structure,Training schedules,A,Suspension prevents interference with inquiry.,psr
PSR 2021,8-10,trial,A ministry planning workforce stability should prioritize:,Established staffing positions,Temporary contracts,External consultants,Volunteer staff,A,Established posts support long-term planning.,psr
PSR 2021,8-10,trial,An officer awaiting confirmation demonstrates high competence. Management should:,Document performance thoroughly,Delay confirmation unnecessarily,Reduce responsibilities,Transfer to another ministry,A,Documentation supports sound confirmation decisions.,psr
PSR 2021,8-10,trial,Interdiction is preferred over dismissal when:,Facts are not yet established,Promotion is pending,Training is incomplete,Transfer is required,A,Interdiction allows investigation before final action.,psr
PSR 2021,8-10,trial,A Permanent Secretary improves operational planning by:,Maintaining administrative continuity,Focusing only on politics,Delegating all authority externally,Reducing supervision,A,Continuity strengthens planning.,psr
PSR 2021,8-10,trial,Effective probation management contributes to:,Higher workforce quality,Reduced training budgets,Faster retirement,Lower accountability,A,It filters unsuitable officers early.,psr
PSR 2021,8-10,trial,An officer under interdiction should be assigned duties that:,Do not compromise investigation,Increase public visibility,Expand authority,Involve sensitive data,A,Limited duties protect inquiry integrity.,psr
PSR 2021,8-10,trial,Administrative planning benefits most from:,Clear officer classification,Uniform office design,Salary secrecy,Travel allowances,A,Classification clarifies responsibility.,psr
PSR 2021,8-10,trial,Suspension decisions must consider:,Impact on investigation fairness,Officer popularity,Office aesthetics,Public holidays,A,Fairness is the primary concern.,psr
PSR 2021,8-10,exam,A ministry seeking long-term efficiency should confirm officers who:,Consistently meet performance standards,Have longest service only,Request promotion frequently,Work overtime exclusively,A,Performance drives sustainable efficiency.,psr
PSR 2021,8-10,exam,Interdiction supports management planning by:,Preventing premature disciplinary errors,Accelerating dismissal,Reducing payroll permanently,Limiting recruitment,A,It allows careful fact assessment.,psr
PSR 2021,8-10,exam,"When probation reports conflict, management should:",Request further evaluation,Confirm immediately,Dismiss automatically,Transfer responsibility,A,Additional assessment ensures accuracy.,psr
PSR 2021,8-10,exam,Established posts allow ministries to:,Plan workforce needs predictably,Avoid budgeting,Eliminate supervision,Outsource administration,A,Predictable staffing aids planning.,psr
PSR 2021,8-10,exam,Suspension protects organizational credibility by:,Demonstrating rule enforcement,Avoiding publicity,Reducing salaries,Delaying decisions,A,Visible accountability builds trust.,psr
PSR 2021,8-10,exam,Effective officer classification improves:,Task allocation accuracy,Office decoration,Travel efficiency,Salary secrecy,A,Correct roles enhance productivity.,psr
PSR 2021,8-10,exam,A probation extension should be accompanied by:,Clear performance targets,Immediate promotion,Reduced supervision,Automatic confirmation,A,Targets guide improvement.,psr
PSR 2021,8-10,exam,Administrative continuity under a Permanent Secretary ensures:,Stable policy implementation,Frequent restructuring,Temporary staffing,External dependence,A,Continuity stabilizes execution.,psr
PSR 2021,8-10,exam,Interdicted officers should maintain:,Availability for inquiry,Public silence only,Private employment,Reduced cooperation,A,Availability supports investigation.,psr
PSR 2021,8-10,exam,Workforce planning fails when ministries rely mainly on:,Temporary staffing,Established posts,Confirmed officers,Structured hierarchy,A,Temporary staffing weakens stability.,psr
PSR 2021,8-10,exam,A supervisor notices declining performance during probation. The most effective response is to:,Provide structured feedback and monitoring,Ignore until confirmation,Dismiss immediately,Transfer the officer,A,Guided monitoring supports improvement.,psr
PSR 2021,8-10,exam,"When suspension is applied, management must ensure it:",Supports fair investigation,Reduces staffing costs,Speeds promotion cycles,Improves morale,A,Suspension exists to preserve fairness.,psr
PSR 2021,8-10,exam,An established staffing structure allows management to:,Forecast long-term personnel needs,Avoid recruitment planning,Eliminate supervision,Shorten probation,A,Forecasting depends on stable posts.,psr
PSR 2021,8-10,exam,"If confirmation is rushed without evaluation, the likely risk is:",Retention of unsuitable staff,Increased productivity,Reduced training needs,Higher morale,A,Poor evaluation weakens workforce quality.,psr
PSR 2021,8-10,exam,Interdiction should be reviewed periodically to:,Ensure proportional response,Extend punishment indefinitely,Avoid publicity,Reduce paperwork,A,Regular review maintains fairness.,psr
PSR 2021,8-10,exam,A Permanent Secretary improves planning outcomes by:,Aligning administrative goals with policy,Reducing officer autonomy,Limiting communication,Delegating externally,A,Alignment ensures coherent execution.,psr
PSR 2021,8-10,exam,Probation assessments are most reliable when they are:,Evidence-based and documented,Informal and verbal,Delayed indefinitely,Politically influenced,A,Documentation supports fair judgment.,psr
PSR 2021,8-10,exam,"During interdiction, management should communicate:",Clear investigation procedures,Salary reductions only,Promotion opportunities,Office relocation,A,Transparency builds trust.,psr
PSR 2021,8-10,exam,Administrative efficiency declines when officer roles are:,Poorly defined,Strictly classified,Clearly supervised,Performance monitored,A,Unclear roles cause confusion.,psr
PSR 2021,8-10,exam,Suspension decisions should be proportional to:,Risk of investigative interference,Length of service,Office size,Salary level,A,Proportionality ensures fairness.,psr
PSR 2021,8-10,exam,Effective confirmation planning requires:,Consistent performance benchmarks,Random evaluations,Immediate decisions,External approval,A,Benchmarks standardize decisions.,psr
PSR 2021,8-10,exam,Established posts assist succession planning by:,Providing stable career pathways,Reducing supervision needs,Increasing turnover,Limiting recruitment,A,Stability supports career planning.,psr
