source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,confirmation,trial,Confirmation in the civil service occurs after:,Successful probation completion,First salary payment,Initial training,Transfer posting,A,Confirmation follows satisfactory probation.,psr
PSR 2021,confirmation,trial,The purpose of confirmation is to:,Grant permanent appointment,Increase salary immediately,Transfer departments,Reduce supervision,A,Confirmation establishes permanent status.,psr
PSR 2021,confirmation,trial,An officer who fails probation may be:,Denied confirmation,Dismissed automatically,Promoted early,Transferred abroad,A,Failure prevents confirmation.,psr
PSR 2021,confirmation,trial,Confirmation decisions rely primarily on:,Performance evaluation reports,Length of service only,Personal preference,Political influence,A,Performance determines confirmation.,psr
PSR 2021,confirmation,trial,A confirmed officer is regarded as:,Permanent staff,Temporary employee,Consultant,Probationary worker,A,Confirmation grants permanence.,psr
PSR 2021,confirmation,trial,Probation is designed to test:,Suitability for service,Pension eligibility,Office loyalty,Salary scale,A,Suitability is the main goal.,psr
PSR 2021,confirmation,trial,An extension of probation indicates:,Further assessment is required,Automatic dismissal,Immediate confirmation,Promotion eligibility,A,Extension allows reevaluation.,psr
PSR 2021,confirmation,trial,Confirmation strengthens:,Job security,Temporary status,Office authority,Travel benefits,A,It secures employment.,psr
PSR 2021,confirmation,trial,A probation report should be:,Documented and objective,Informal and verbal,Delayed indefinitely,Confidential only,A,Documentation ensures fairness.,psr
PSR 2021,confirmation,trial,An officer becomes permanent when:,Confirmation is approved,Probation begins,Training starts,Posting occurs,A,Approval grants permanence.,psr
PSR 2021,confirmation,exam,Failure to confirm an unsuitable officer risks:,Institutional inefficiency,Immediate reform,Faster promotions,Reduced supervision,A,Unsuitable retention weakens service.,psr
PSR 2021,confirmation,exam,Confirmation protects the service by:,Retaining competent officers,Reducing accountability,Limiting recruitment,Encouraging turnover,A,Competence strengthens institutions.,psr
PSR 2021,confirmation,exam,A confirmation decision without documentation creates:,Accountability gaps,Faster processing,Higher morale,Reduced workload,A,Records support review.,psr
PSR 2021,confirmation,exam,Probation feedback should be:,Specific and timely,General and delayed,Informal only,Confidential,A,Clear feedback guides improvement.,psr
PSR 2021,confirmation,exam,An extended probation should include:,Clear performance targets,Immediate promotion,Reduced supervision,Automatic confirmation,A,Targets enable progress.,psr
PSR 2021,confirmation,exam,Confirmation fairness depends on:,Objective evaluation standards,Personal discretion,Political pressure,Informal judgment,A,Objectivity ensures justice.,psr
PSR 2021,confirmation,exam,A confirmed officer contributes to:,Workforce stability,Temporary staffing,Volunteer services,External contracts,A,Permanent staff stabilize service.,psr
PSR 2021,confirmation,exam,Probation mismanagement may lead to:,Retention of unsuitable officers,Immediate reform,Faster confirmation,Reduced accountability,A,Poor management weakens quality.,psr
